127.0.0.1 - - [15/Sep/2024:22:48:31 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:48:32 +0700] "GET /DiamonShop/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:49:34 +0700] "GET /DiamonShop/trang-chu/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:49:38 +0700] "GET /DiamonShop/trang-chu/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:49:39 +0700] "GET /DiamonShop/trang-chu/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:49:39 +0700] "GET /DiamonShop/trang-chu/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:50:11 +0700] "GET /DiamonShop/trang-chu/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:50:11 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:50:32 +0700] "GET /DiamonShop/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:50:34 +0700] "GET /DiamonShop/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:50:34 +0700] "GET /DiamonShop/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:50:35 +0700] "GET /DiamonShop/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:52:20 +0700] "GET /DiamonShop/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:52:27 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:53:47 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:53:49 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:53:49 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:54:03 +0700] "GET /DiamonShop/ HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:54:06 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 22312
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/css/bootstrap.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/style.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/font-awesome/css/font-awesome.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/paypal.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/js/jquery.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/js/bootstrap.min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/shopping-cart-template.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/js/jquery.easing-1.3.min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/bootstrap-template.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/js/shop.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/bootstrap_free-ecommerce.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/carousel1.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/bootstrap-templates.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/carousel3.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/bootstrap-ring.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/i.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/g.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/f.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/s.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/h.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/j.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/b.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/a.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/c.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/d.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/e.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/2.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/1.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/3.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/4.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/5.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/6.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/mc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/disc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/visa.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/maestro.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/img/pp.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:22:58:15 +0700] "GET /DiamonShop/home/assets/ico/favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/ HTTP/1.1" 200 22098
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/user/css/bootstrap.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/style.css HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/paypal.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/js/jquery.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/shopping-cart-template.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/js/bootstrap.min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/bootstrap-template.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/js/jquery.easing-1.3.min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/js/shop.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/bootstrap_free-ecommerce.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/carousel3.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/bootstrap-templates.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/carousel1.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/i.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/bootstrap-ring.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/g.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/s.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/f.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/h.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/j.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/b.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/c.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/a.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/d.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/e.jpg HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/1.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/2.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/3.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/4.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/6.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/5.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/maestro.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/mc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/visa.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/pp.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/img/disc.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:43 +0700] "GET /DiamonShop/home/assets/user/ico/favicon.ico HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [15/Sep/2024:23:10:48 +0700] "GET /DiamonShop/home/assets/user/css/bootstrap.css HTTP/1.1" 404 967
